time,# jobs
6.90459e-310,5
time,# jobs
6.90459e-310,5
time,# jobs
6.90459e-310,5
time,# jobs
6.90459e-310,5
time,# jobs
6.90459e-310,5
time,# jobs
0.3,5
time,# jobs
0.6,5
time,# jobs
0.9,5
time,# jobs
1.2,5
time,# jobs
1.5,5
time,# jobs
2.1,5
time,# jobs
2.7,5
time,# jobs
3.3,5
time,# jobs
3.9,5
time,# jobs
4.5,5
time,# jobs
5.4,5
time,# jobs
6.3,6
time,# jobs
7.2,6
time,# jobs
8.1,6
time,# jobs
9,7
time,# jobs
10.2,7
time,# jobs
10.2,7
time,# jobs
11.4,7
time,# jobs
12.6,7
time,# jobs
13.8,7
time,# jobs
13.8,7
time,# jobs
15,7
time,# jobs
16.5,7
time,# jobs
16.8,7
time,# jobs
18.3,7
time,# jobs
19.8,7
time,# jobs
21.3,7
time,# jobs
21.6,8
time,# jobs
23.1,8
time,# jobs
24.9,8
time,# jobs
25.5,9
time,# jobs
27.3,9
time,# jobs
29.1,9
time,# jobs
30.9,9
time,# jobs
30.9,9
time,# jobs
31.5,9
time,# jobs
33.3,10
time,# jobs
35.4,10
time,# jobs
35.4,10
time,# jobs
36.3,10
time,# jobs
38.4,10
time,# jobs
40.5,10
time,# jobs
42.6,10
time,# jobs
42.9,10
time,# jobs
43.8,10
time,# jobs
43.8,10
time,# jobs
45.9,10
time,# jobs
48.3,10
time,# jobs
48.6,10
time,# jobs
49.8,11
time,# jobs
52.2,11
time,# jobs
54.6,12
time,# jobs
57,12
time,# jobs
57.6,12
time,# jobs
58.8,12
time,# jobs
59.1,12
time,# jobs
61.5,12
time,# jobs
64.2,13
time,# jobs
64.8,13
time,# jobs
64.8,13
time,# jobs
66.3,13
time,# jobs
69,13
time,# jobs
69,13
time,# jobs
71.7,13
time,# jobs
74.4,13
time,# jobs
75.3,13
time,# jobs
76.8,13
time,# jobs
77.4,13
time,# jobs
80.1,13
time,# jobs
80.1,13
time,# jobs
83.1,12
time,# jobs
84,12
time,# jobs
84.3,12
time,# jobs
86.1,12
time,# jobs
89.1,12
time,# jobs
89.4,12
time,# jobs
92.4,12
time,# jobs
95.4,12
time,# jobs
96.6,13
time,# jobs
98.4,14
time,# jobs
99.3,14
time,# jobs
102.3,13
time,# jobs
102.6,13
time,# jobs
103.8,13
time,# jobs
104.4,13
time,# jobs
106.5,13
time,# jobs
109.8,13
time,# jobs
110.4,13
time,# jobs
113.7,14
time,# jobs
117,14
time,# jobs
117,14
time,# jobs
118.5,14
time,# jobs
118.5,14
time,# jobs
120.6,15
time,# jobs
121.8,15
time,# jobs
122.4,15
time,# jobs
123.9,15
time,# jobs
124.8,15
time,# jobs
127.2,15
time,# jobs
130.8,15
time,# jobs
131.7,15
time,# jobs
131.7,15
time,# jobs
135.3,15
time,# jobs
138.9,15
time,# jobs
139.2,15
time,# jobs
141,15
time,# jobs
141.3,15
time,# jobs
141.3,15
time,# jobs
143.7,16
time,# jobs
145.2,17
time,# jobs
146.1,17
time,# jobs
147.9,17
time,# jobs
149.1,17
time,# jobs
151.8,17
time,# jobs
155.7,17
time,# jobs
156.9,17
time,# jobs
157.2,17
time,# jobs
161.1,17
time,# jobs
165,17
time,# jobs
165.6,18
time,# jobs
167.7,18
time,# jobs
168.3,18
time,# jobs
168.6,18
time,# jobs
168.6,18
time,# jobs
171.3,18
time,# jobs
171.3,18
time,# jobs
173.1,18
time,# jobs
174.3,18
time,# jobs
176.4,18
time,# jobs
177.9,18
time,# jobs
180.9,18
time,# jobs
185.1,18
time,# jobs
186.6,18
time,# jobs
187.2,18
time,# jobs
191.4,18
time,# jobs
195.6,18
time,# jobs
195.6,18
time,# jobs
196.5,18
time,# jobs
198.9,18
time,# jobs
199.8,18
time,# jobs
200.4,18
time,# jobs
200.7,19
time,# jobs
203.7,19
time,# jobs
204,19
time,# jobs
206.1,19
time,# jobs
207.6,19
time,# jobs
210,19
time,# jobs
211.8,19
time,# jobs
215.1,19
time,# jobs
219.6,19
time,# jobs
221.4,20
time,# jobs
222.3,20
time,# jobs
226.8,20
time,# jobs
231.3,20
time,# jobs
231.6,20
time,# jobs
232.8,20
time,# jobs
235.5,20
time,# jobs
236.7,20
time,# jobs
237.6,20
time,# jobs
237.6,20
time,# jobs
238.2,20
time,# jobs
241.5,20
time,# jobs
242.1,20
time,# jobs
244.5,20
time,# jobs
246.3,20
time,# jobs
249,20
time,# jobs
251.1,20
time,# jobs
254.7,20
time,# jobs
259.5,20
time,# jobs
259.5,20
time,# jobs
261.6,20
time,# jobs
262.8,20
time,# jobs
267.6,21
time,# jobs
272.4,21
time,# jobs
273,22
time,# jobs
274.5,22
time,# jobs
277.5,22
time,# jobs
279,22
time,# jobs
280.2,22
time,# jobs
280.5,22
time,# jobs
281.4,22
